
1284
( 
(0.0 ((0.0 0.0 0.0) (0.0 0.0 -0.4612))) 
(0.3342 ((0.0 0.0 0.0) (0.0 0.0 -0.9577))) 
(0.6684 ((0.0 0.0 0.0) (0.0 0.0 -1.4538))) 
(1.0026 ((0.0 0.0 0.0) (0.0 0.0 -1.9494))) 
(1.3368 ((0.0 0.0 0.0) (0.0 0.0 -2.4442))) 
(1.671 ((0.0 0.0 0.0) (0.0 0.0 -2.938))) 
(2.0052 ((0.0 0.0 0.0) (0.0 0.0 -3.4307))) 
(2.3393 ((0.0 0.0 0.0) (0.0 0.0 -3.922))) 
(2.6735 ((0.0 0.0 0.0) (0.0 0.0 -4.4118))) 
(3.0077 ((0.0 0.0 0.0) (0.0 0.0 -4.8999))) 
(3.3419 ((0.0 0.0 0.0) (0.0 0.0 -5.386))) 
(3.6761 ((0.0 0.0 0.0) (0.0 0.0 -5.8701))) 
(4.0103 ((0.0 0.0 0.0) (0.0 0.0 -6.3519))) 
(4.3445 ((0.0 0.0 0.0) (0.0 0.0 -6.8313))) 
(4.6787 ((0.0 0.0 0.0) (0.0 0.0 -7.3081))) 
(5.0129 ((0.0 0.0 0.0) (0.0 0.0 -7.7821))) 
(5.3471 ((0.0 0.0 0.0) (0.0 0.0 -8.2532))) 
(5.6813 ((0.0 0.0 0.0) (0.0 0.0 -8.7211))) 
(6.0155 ((0.0 0.0 0.0) (0.0 0.0 -9.1859))) 
(6.3497 ((0.0 0.0 0.0) (0.0 0.0 -9.6472))) 
(6.6838 ((0.0 0.0 0.0) (0.0 0.0 -10.105))) 
(7.018 ((0.0 0.0 0.0) (0.0 0.0 -10.5591))) 
(7.3522 ((0.0 0.0 0.0) (0.0 0.0 -11.0094))) 
(7.6864 ((0.0 0.0 0.0) (0.0 0.0 -11.4557))) 
(8.0206 ((0.0 0.0 0.0) (0.0 0.0 -11.8979))) 
(8.3548 ((0.0 0.0 0.0) (0.0 0.0 -12.336))) 
(8.689 ((0.0 0.0 0.0) (0.0 0.0 -12.7697))) 
(9.0232 ((0.0 0.0 0.0) (0.0 0.0 -13.199))) 
(9.3574 ((0.0 0.0 0.0) (0.0 0.0 -13.6237))) 
(9.6916 ((0.0 0.0 0.0) (0.0 0.0 -14.0439))) 
