# Group	 Points	 X-coord	 Y-coord	 Z-coord
1	199	0.207694	0.003497	0
1	200	0.207566	0.00361	0
1	201	0.207439	0.003596	0
1	202	0.207312	0.003581	0
1	203	0.207185	0.003567	0
1	204	0.207058	0.00368	0
1	205	0.206931	0.003793	0
1	206	0.206804	0.003778	0
1	207	0.206677	0.003891	0
1	208	0.20655	0.004004	0
1	209	0.206423	0.00399	0
1	210	0.206295	0.003976	0
1	211	0.206168	0.004089	0
1	212	0.206041	0.004964	0
1	213	0.205914	0.005077	0
1	214	0.205787	0.005317	0
1	215	0.20566	0.00543	0
1	216	0.205533	0.005543	0
1	217	0.205406	0.005529	0
1	218	0.205279	0.005769	0
1	219	0.205151	0.005882	0
1	220	0.205024	0.005996	0
1	221	0.204897	0.005982	0
1	222	0.20477	0.006095	0
1	223	0.204643	0.006208	0
1	224	0.204516	0.006194	0
1	225	0.204389	0.00618	0
1	226	0.204262	0.006166	0
1	227	0.204135	0.006152	0
1	228	0.204007	0.006139	0
1	229	0.20388	0.006125	0
1	230	0.203753	0.006111	0
1	231	0.203626	0.006224	0
1	232	0.203499	0.006083	0
1	233	0.203372	0.006324	0
1	234	0.203245	0.006437	0
1	235	0.203118	0.006551	0
1	236	0.202991	0.006537	0
1	237	0.202864	0.006523	0
1	238	0.202736	0.007145	0
1	239	0.202609	0.007005	0
1	240	0.202482	0.007245	0
1	241	0.202355	0.007359	0
1	242	0.202228	0.007091	0
1	243	0.202101	0.007459	0
1	244	0.201974	0.007445	0
1	245	0.201847	0.007432	0
1	246	0.20172	0.007418	0
1	247	0.201592	0.007405	0
1	248	0.201465	0.007391	0
1	249	0.201338	0.007378	0
1	250	0.201211	0.007365	0
1	251	0.201084	0.007351	0
1	252	0.200957	0.007338	0
1	253	0.20083	0.007324	0
1	254	0.200703	0.007311	0
1	255	0.200576	0.007298	0
1	256	0.200448	0.007285	0
1	257	0.200321	0.007271	0
1	258	0.200194	0.007385	0
1	259	0.200067	0.007499	0
1	260	0.19994	0.007867	0
1	261	0.199813	0.007981	0
1	262	0.199686	0.008095	0
1	263	0.199559	0.008082	0
1	264	0.199432	0.008069	0
1	265	0.199305	0.008183	0
1	266	0.199177	0.008297	0
1	267	0.19905	0.008284	0
1	268	0.198923	0.008398	0
1	269	0.198796	0.008639	0
1	270	0.198669	0.008499	0
1	271	0.198542	0.008486	0
1	272	0.198415	0.008473	0
1	273	0.198288	0.008587	0
1	274	0.198161	0.008701	0
1	275	0.198033	0.008689	0
1	276	0.197906	0.008803	0
1	277	0.197779	0.008917	0
1	278	0.197652	0.008904	0
1	279	0.197525	0.008891	0
1	280	0.197398	0.008879	0
1	281	0.197271	0.008866	0
1	282	0.197144	0.008853	0
1	283	0.197017	0.00884	0
1	284	0.196889	0.008828	0
1	285	0.196762	0.008815	0
1	286	0.196635	0.008802	0
1	287	0.196508	0.008789	0
1	288	0.196381	0.008904	0
1	289	0.196254	0.009018	0
1	290	0.196127	0.009006	0
1	291	0.196	0.00912	0
1	292	0.195873	0.009235	0
1	293	0.195746	0.009222	0
1	294	0.195618	0.00921	0
1	295	0.195491	0.009197	0
1	296	0.195364	0.009185	0
1	297	0.195237	0.009172	0
1	298	0.19511	0.00916	0
1	299	0.194983	0.009148	0
1	300	0.194856	0.009135	0
1	301	0.194729	0.009123	0
1	302	0.194602	0.00911	0
1	303	0.194474	0.009098	0
1	304	0.194347	0.009086	0
1	305	0.19422	0.009073	0
1	306	0.194093	0.009061	0
1	307	0.193966	0.009049	0
1	308	0.193839	0.009037	0
1	309	0.193712	0.009024	0
1	310	0.193585	0.009012	0
1	311	0.193458	0.009	0
1	312	0.19333	0.008988	0
1	313	0.193203	0.008976	0
1	314	0.193076	0.008964	0
1	315	0.192949	0.008951	0
1	316	0.192822	0.008939	0
1	317	0.192695	0.008927	0
1	318	0.192568	0.008915	0
1	319	0.192441	0.008903	0
1	320	0.192314	0.008891	0
1	321	0.192186	0.008879	0
1	322	0.192059	0.008867	0
1	323	0.191932	0.008855	0
1	324	0.191805	0.008843	0
1	325	0.191678	0.008831	0
1	326	0.191551	0.00882	0
1	327	0.191424	0.008808	0
1	328	0.191297	0.008796	0
1	329	0.19117	0.008784	0
1	330	0.191043	0.008772	0
1	331	0.190915	0.00876	0
1	332	0.190788	0.008749	0
1	333	0.190661	0.008737	0
1	334	0.190534	0.008725	0
1	335	0.190407	0.008713	0
1	336	0.19028	0.008702	0
1	337	0.190153	0.00869	0
1	338	0.190026	0.008678	0
1	339	0.189899	0.008667	0
1	340	0.189771	0.008655	0
1	341	0.189644	0.008644	0
1	342	0.189517	0.008632	0
1	343	0.18939	0.008621	0
1	344	0.189263	0.008609	0
1	345	0.189136	0.008598	0
1	346	0.189009	0.008586	0
1	347	0.188882	0.008575	0
1	348	0.188755	0.008563	0
1	349	0.188627	0.008552	0
1	350	0.1885	0.008413	0
1	351	0.188373	0.008275	0
1	352	0.188246	0.008263	0
1	353	0.188119	0.008125	0
1	354	0.187992	0.007986	0
1	355	0.187865	0.007975	0
1	356	0.187738	0.007964	0
1	357	0.187611	0.007953	0
1	358	0.187484	0.007941	0
1	359	0.187356	0.00793	0
1	360	0.187229	0.007919	0
1	361	0.187102	0.007908	0
1	362	0.186975	0.007896	0
1	363	0.186848	0.007885	0
1	364	0.186721	0.008255	0
1	365	0.186594	0.008371	0
1	366	0.186467	0.00836	0
1	367	0.18634	0.007841	0
1	368	0.186212	0.007957	0
1	369	0.186085	0.007819	0
1	370	0.185958	0.007808	0
1	371	0.185831	0.008051	0
1	372	0.185704	0.008294	0
1	373	0.185577	0.008283	0
1	374	0.18545	0.007764	0
1	375	0.185323	0.007753	0
1	376	0.185196	0.007742	0
1	377	0.185068	0.00824	0
1	378	0.184941	0.00772	0
1	379	0.184814	0.008218	0
1	380	0.184687	0.008207	0
1	381	0.18456	0.007688	0
1	382	0.184433	0.008186	0
1	383	0.184306	0.007666	0
1	384	0.184179	0.007656	0
1	385	0.184052	0.007645	0
1	386	0.183925	0.007634	0
1	387	0.183797	0.007624	0
1	388	0.18367	0.008248	0
1	389	0.183543	0.008365	0
1	390	0.183416	0.007592	0
1	391	0.183289	0.008471	0
1	392	0.183162	0.007698	0
1	393	0.183035	0.00756	0
1	394	0.182908	0.008821	0
1	395	0.182781	0.00792	0
1	396	0.182653	0.008164	0
1	397	0.182526	0.007772	0
1	398	0.182399	0.007762	0
1	399	0.182272	0.007878	0
1	400	0.182145	0.008122	0
1	401	0.182018	0.009002	0
1	402	0.181891	0.008991	0
1	403	0.181764	0.008981	0
1	404	0.181637	0.00897	0
1	405	0.181509	0.00896	0
1	406	0.181382	0.00895	0
1	407	0.181255	0.00894	0
1	408	0.181128	0.008929	0
1	409	0.181001	0.008919	0
1	410	0.180874	0.008909	0
1	411	0.180747	0.009026	0
1	412	0.18062	0.009016	0
1	413	0.180493	0.009133	0
1	414	0.180365	0.009249	0
1	415	0.180238	0.009366	0
1	416	0.180111	0.009229	0
1	417	0.179984	0.009219	0
1	418	0.179857	0.009718	0
1	419	0.17973	0.009835	0
1	420	0.179603	0.009443	0
1	421	0.179476	0.009942	0
1	422	0.179349	0.009678	0
1	423	0.179222	0.010303	0
1	424	0.179094	0.010166	0
1	425	0.178967	0.010156	0
1	426	0.17884	0.010273	0
1	427	0.178713	0.010391	0
1	428	0.178586	0.010381	0
1	429	0.178459	0.010498	0
1	430	0.178332	0.010615	0
1	431	0.178205	0.010605	0
1	432	0.178078	0.010596	0
1	433	0.17795	0.010586	0
1	434	0.177823	0.010576	0
1	435	0.177696	0.010566	0
1	436	0.177569	0.010557	0
1	437	0.177442	0.010547	0
1	438	0.177315	0.010537	0
1	439	0.177188	0.010528	0
1	440	0.177061	0.010518	0
1	441	0.176934	0.010509	0
1	442	0.176806	0.010499	0
1	443	0.176679	0.010489	0
1	444	0.176552	0.01048	0
1	445	0.176425	0.01047	0
1	446	0.176298	0.010588	0
1	447	0.176171	0.010706	0
1	448	0.176044	0.010696	0
1	449	0.175917	0.010814	0
1	450	0.17579	0.010931	0
1	451	0.175663	0.010922	0
1	452	0.175535	0.010913	0
1	453	0.175408	0.01103	0
