# Group, Points, X-coord, Y-coord, Z-coord
1.000000,128.000000,0.225973,0.003627,0.000000
1.000000,129.000000,0.225742,0.003635,0.000000
1.000000,130.000000,0.225511,0.003641,0.000000
1.000000,131.000000,0.225280,0.003648,0.000000
1.000000,132.000000,0.225049,0.003653,0.000000
1.000000,133.000000,0.224818,0.003659,0.000000
1.000000,134.000000,0.224587,0.003663,0.000000
1.000000,135.000000,0.224356,0.003667,0.000000
1.000000,136.000000,0.224125,0.003670,0.000000
1.000000,137.000000,0.223894,0.003673,0.000000
1.000000,138.000000,0.223663,0.003675,0.000000
1.000000,139.000000,0.223432,0.003676,0.000000
1.000000,140.000000,0.223201,0.003677,0.000000
1.000000,141.000000,0.222971,0.003677,0.000000
1.000000,142.000000,0.222740,0.003676,0.000000
1.000000,143.000000,0.222509,0.003674,0.000000
1.000000,144.000000,0.222278,0.003672,0.000000
1.000000,145.000000,0.222047,0.003669,0.000000
1.000000,146.000000,0.221816,0.003665,0.000000
1.000000,147.000000,0.221585,0.003661,0.000000
1.000000,148.000000,0.221354,0.003655,0.000000
1.000000,149.000000,0.221123,0.003649,0.000000
1.000000,150.000000,0.220892,0.003642,0.000000
1.000000,151.000000,0.220661,0.003634,0.000000
1.000000,152.000000,0.220430,0.003625,0.000000
1.000000,153.000000,0.220199,0.003615,0.000000
1.000000,154.000000,0.219969,0.003605,0.000000
1.000000,155.000000,0.219738,0.003593,0.000000
1.000000,156.000000,0.219507,0.003580,0.000000
1.000000,157.000000,0.219276,0.003566,0.000000
1.000000,158.000000,0.219045,0.003552,0.000000
1.000000,159.000000,0.218814,0.003536,0.000000
1.000000,160.000000,0.218583,0.003519,0.000000
1.000000,161.000000,0.218352,0.003501,0.000000
1.000000,162.000000,0.218121,0.003482,0.000000
1.000000,163.000000,0.217890,0.003461,0.000000
1.000000,164.000000,0.217659,0.003439,0.000000
1.000000,165.000000,0.217428,0.003416,0.000000
1.000000,166.000000,0.217197,0.003392,0.000000
1.000000,167.000000,0.216967,0.003366,0.000000
1.000000,168.000000,0.216736,0.003339,0.000000
1.000000,169.000000,0.216505,0.003310,0.000000
1.000000,170.000000,0.216274,0.003280,0.000000
1.000000,171.000000,0.216043,0.003248,0.000000
1.000000,172.000000,0.215812,0.003214,0.000000
1.000000,173.000000,0.215581,0.003179,0.000000
1.000000,174.000000,0.215350,0.003142,0.000000
1.000000,175.000000,0.215119,0.003103,0.000000
1.000000,176.000000,0.214888,0.003061,0.000000
1.000000,177.000000,0.214657,0.003018,0.000000
1.000000,178.000000,0.214426,0.002973,0.000000
1.000000,179.000000,0.214195,0.002925,0.000000
1.000000,180.000000,0.213964,0.002874,0.000000
1.000000,181.000000,0.213734,0.002821,0.000000
1.000000,182.000000,0.213503,0.002765,0.000000
1.000000,183.000000,0.213272,0.002706,0.000000
1.000000,184.000000,0.213041,0.002644,0.000000
1.000000,185.000000,0.212810,0.002578,0.000000
1.000000,186.000000,0.212579,0.002509,0.000000
1.000000,187.000000,0.212348,0.002435,0.000000
1.000000,188.000000,0.212117,0.002356,0.000000
1.000000,189.000000,0.209346,0.002224,0.000000
1.000000,190.000000,0.208294,0.002602,0.000000
1.000000,191.000000,0.207242,0.002975,0.000000
1.000000,192.000000,0.206190,0.003344,0.000000
1.000000,193.000000,0.205138,0.003709,0.000000
1.000000,194.000000,0.204086,0.004070,0.000000
1.000000,195.000000,0.203034,0.004426,0.000000
1.000000,196.000000,0.201982,0.004778,0.000000
1.000000,197.000000,0.200930,0.005125,0.000000
1.000000,198.000000,0.199878,0.005469,0.000000
1.000000,199.000000,0.198826,0.005808,0.000000
1.000000,200.000000,0.197774,0.006143,0.000000
1.000000,201.000000,0.196722,0.006474,0.000000
1.000000,202.000000,0.195670,0.006801,0.000000
1.000000,203.000000,0.194618,0.007124,0.000000
1.000000,204.000000,0.193566,0.007442,0.000000
1.000000,205.000000,0.192514,0.007757,0.000000
1.000000,206.000000,0.191462,0.008067,0.000000
1.000000,207.000000,0.190410,0.008373,0.000000
1.000000,208.000000,0.189358,0.008676,0.000000
1.000000,209.000000,0.188306,0.008974,0.000000
1.000000,210.000000,0.187254,0.009268,0.000000
1.000000,211.000000,0.186202,0.009559,0.000000
1.000000,212.000000,0.185150,0.009845,0.000000
1.000000,213.000000,0.184098,0.010127,0.000000
1.000000,214.000000,0.183046,0.010406,0.000000
1.000000,215.000000,0.181994,0.010680,0.000000
1.000000,216.000000,0.180942,0.010951,0.000000
1.000000,217.000000,0.179890,0.011218,0.000000
1.000000,218.000000,0.178838,0.011481,0.000000
1.000000,219.000000,0.177786,0.011740,0.000000
1.000000,220.000000,0.176734,0.011995,0.000000
1.000000,221.000000,0.175682,0.012246,0.000000
1.000000,222.000000,0.174630,0.012494,0.000000
1.000000,223.000000,0.173578,0.012738,0.000000
1.000000,224.000000,0.172526,0.012978,0.000000
1.000000,225.000000,0.171474,0.013215,0.000000
1.000000,226.000000,0.170422,0.013447,0.000000
1.000000,227.000000,0.169370,0.013676,0.000000
1.000000,228.000000,0.168318,0.013902,0.000000
1.000000,229.000000,0.167266,0.014123,0.000000
1.000000,230.000000,0.166214,0.014341,0.000000
1.000000,231.000000,0.165162,0.014556,0.000000
1.000000,232.000000,0.164110,0.014767,0.000000
1.000000,233.000000,0.163058,0.014974,0.000000
1.000000,234.000000,0.162006,0.015177,0.000000
1.000000,235.000000,0.160954,0.015378,0.000000
1.000000,236.000000,0.159902,0.015574,0.000000
1.000000,237.000000,0.158850,0.015767,0.000000
1.000000,238.000000,0.157798,0.015957,0.000000
1.000000,239.000000,0.156747,0.016143,0.000000
1.000000,240.000000,0.155695,0.016325,0.000000
1.000000,241.000000,0.154643,0.016505,0.000000
1.000000,242.000000,0.153591,0.016680,0.000000
1.000000,243.000000,0.152539,0.016853,0.000000
1.000000,244.000000,0.151487,0.017022,0.000000
1.000000,245.000000,0.150435,0.017187,0.000000
1.000000,246.000000,0.149383,0.017349,0.000000
1.000000,247.000000,0.148331,0.017508,0.000000
1.000000,248.000000,0.147279,0.017664,0.000000
1.000000,249.000000,0.146227,0.017816,0.000000
1.000000,250.000000,0.145175,0.017965,0.000000
1.000000,251.000000,0.144123,0.018111,0.000000
1.000000,252.000000,0.143071,0.018254,0.000000
1.000000,253.000000,0.142019,0.018393,0.000000
1.000000,254.000000,0.140967,0.018529,0.000000
