# Polyline=True
0.000000,0.255300,-0.000000
0.000000,0.255069,0.000045
0.000000,0.254838,0.000089
0.000000,0.254607,0.000133
0.000000,0.254376,0.000177
0.000000,0.254145,0.000220
0.000000,0.253914,0.000263
0.000000,0.253684,0.000306
0.000000,0.253453,0.000349
0.000000,0.253222,0.000391
0.000000,0.252991,0.000433
0.000000,0.252760,0.000475
0.000000,0.252529,0.000517
0.000000,0.252298,0.000558
0.000000,0.252067,0.000599
0.000000,0.251836,0.000640
0.000000,0.251605,0.000681
0.000000,0.251374,0.000721
0.000000,0.251143,0.000761
0.000000,0.250912,0.000801
0.000000,0.250682,0.000840
0.000000,0.250451,0.000880
0.000000,0.250220,0.000919
0.000000,0.249989,0.000958
0.000000,0.249758,0.000996
0.000000,0.249527,0.001035
0.000000,0.249296,0.001073
0.000000,0.249065,0.001111
0.000000,0.248834,0.001148
0.000000,0.248603,0.001186
0.000000,0.248372,0.001223
0.000000,0.248141,0.001260
0.000000,0.247910,0.001297
0.000000,0.247679,0.001333
0.000000,0.247449,0.001369
0.000000,0.247218,0.001406
0.000000,0.246987,0.001441
0.000000,0.246756,0.001477
0.000000,0.246525,0.001512
0.000000,0.246294,0.001548
0.000000,0.246063,0.001583
0.000000,0.245832,0.001617
0.000000,0.245601,0.001652
0.000000,0.245370,0.001686
0.000000,0.245139,0.001720
0.000000,0.244908,0.001754
0.000000,0.244677,0.001788
0.000000,0.244447,0.001821
0.000000,0.244216,0.001854
0.000000,0.243985,0.001887
0.000000,0.243754,0.001920
0.000000,0.243523,0.001953
0.000000,0.243292,0.001985
0.000000,0.243061,0.002017
0.000000,0.242830,0.002049
0.000000,0.242599,0.002081
0.000000,0.242368,0.002112
0.000000,0.242137,0.002143
0.000000,0.241906,0.002174
0.000000,0.241675,0.002205
0.000000,0.241445,0.002236
0.000000,0.241214,0.002266
0.000000,0.240983,0.002296
0.000000,0.240752,0.002326
0.000000,0.240521,0.002355
0.000000,0.240290,0.002385
0.000000,0.240059,0.002414
0.000000,0.239828,0.002443
0.000000,0.239597,0.002471
0.000000,0.239366,0.002500
0.000000,0.239135,0.002528
0.000000,0.238904,0.002556
0.000000,0.238673,0.002584
0.000000,0.238443,0.002611
0.000000,0.238212,0.002638
0.000000,0.237981,0.002665
0.000000,0.237750,0.002692
0.000000,0.237519,0.002719
0.000000,0.237288,0.002745
0.000000,0.237057,0.002771
0.000000,0.236826,0.002796
0.000000,0.236595,0.002822
0.000000,0.236364,0.002847
0.000000,0.236133,0.002872
0.000000,0.235902,0.002896
0.000000,0.235671,0.002921
0.000000,0.235440,0.002945
0.000000,0.235210,0.002968
0.000000,0.234979,0.002992
0.000000,0.234748,0.003015
0.000000,0.234517,0.003038
0.000000,0.234286,0.003060
0.000000,0.234055,0.003082
0.000000,0.233824,0.003104
0.000000,0.233593,0.003126
0.000000,0.233362,0.003147
0.000000,0.233131,0.003168
0.000000,0.232900,0.003189
0.000000,0.232669,0.003209
0.000000,0.232438,0.003229
0.000000,0.232208,0.003249
0.000000,0.231977,0.003268
0.000000,0.231746,0.003287
0.000000,0.231515,0.003305
0.000000,0.231284,0.003324
0.000000,0.231053,0.003342
0.000000,0.230822,0.003359
0.000000,0.230591,0.003376
0.000000,0.230360,0.003393
0.000000,0.230129,0.003409
0.000000,0.229898,0.003425
0.000000,0.229667,0.003440
0.000000,0.229436,0.003456
0.000000,0.229206,0.003470
0.000000,0.228975,0.003484
0.000000,0.228744,0.003498
0.000000,0.228513,0.003512
0.000000,0.228282,0.003525
0.000000,0.228051,0.003537
0.000000,0.227820,0.003549
0.000000,0.227589,0.003560
0.000000,0.227358,0.003572
0.000000,0.227127,0.003582
0.000000,0.226896,0.003592
0.000000,0.226665,0.003602
0.000000,0.226434,0.003611
0.000000,0.226203,0.003619
0.000000,0.225973,0.003627
0.000000,0.225742,0.003635
0.000000,0.225511,0.003641
0.000000,0.225280,0.003648
0.000000,0.225049,0.003653
0.000000,0.224818,0.003659
0.000000,0.224587,0.003663
0.000000,0.224356,0.003667
0.000000,0.224125,0.003670
0.000000,0.223894,0.003673
0.000000,0.223663,0.003675
0.000000,0.223432,0.003676
0.000000,0.223201,0.003677
0.000000,0.222971,0.003677
0.000000,0.222740,0.003676
0.000000,0.222509,0.003674
0.000000,0.222278,0.003672
0.000000,0.222047,0.003669
0.000000,0.221816,0.003665
0.000000,0.221585,0.003661
0.000000,0.221354,0.003655
0.000000,0.221123,0.003649
0.000000,0.220892,0.003642
0.000000,0.220661,0.003634
0.000000,0.220430,0.003625
0.000000,0.220199,0.003615
0.000000,0.219969,0.003605
0.000000,0.219738,0.003593
0.000000,0.219507,0.003580
0.000000,0.219276,0.003566
0.000000,0.219045,0.003552
0.000000,0.218814,0.003536
0.000000,0.218583,0.003519
0.000000,0.218352,0.003501
0.000000,0.218121,0.003482
0.000000,0.217890,0.003461
0.000000,0.217659,0.003439
0.000000,0.217428,0.003416
0.000000,0.217197,0.003392
0.000000,0.216967,0.003366
0.000000,0.216736,0.003339
0.000000,0.216505,0.003310
0.000000,0.216274,0.003280
0.000000,0.216043,0.003248
0.000000,0.215812,0.003214
0.000000,0.215581,0.003179
0.000000,0.215350,0.003142
0.000000,0.215119,0.003103
0.000000,0.214888,0.003061
0.000000,0.214657,0.003018
0.000000,0.214426,0.002973
0.000000,0.214195,0.002925
0.000000,0.213964,0.002874
0.000000,0.213734,0.002821
0.000000,0.213503,0.002765
0.000000,0.213272,0.002706
0.000000,0.213041,0.002644
0.000000,0.212810,0.002578
0.000000,0.212579,0.002509
